Species,Call type,Latitude,Pond Name,State,Water Temperature (C),Avg. duration (s),Avg. pulse rate (pulses/s),Avg. call rate (calls/min),Avg. dominant frequency (Hz),Call effort (s calling/ min),Mass (g),Distance nearest calling male (m),Total males
SB,Slow,39.952092,Shipoopi,Colorado,17.6,0.625,62.295,38.507,1451.971,24.064,15.32,2.44,35
SB,Slow,39.952092,Shipoopi,Colorado,17.6,0.621,55.208,34.353,1242.8,21.319,,2.44,35
SB,Slow,39.952092,Shipoopi,Colorado,17.6,0.632,59.528,34.225,1599.614,21.616,,1.52,35
SB,Slow,39.952092,Shipoopi,Colorado,17.6,0.622,57.539,38.512,1533.486,23.97,,,35
SB,Slow,39.952526,Epic Adventure,Colorado,18.2,0.639,57.023,41.687,1561.157,26.631,8.24,1.52,35
SB,Slow,39.952526,Epic Adventure,Colorado,18.2,0.669,58.47,30.517,1535.014,20.426,10.92,3.05,35
SB,Slow,39.952526,Epic Adventure,Colorado,18.2,0.64,57.148,29.892,1227.4,19.143,,,35
SB,Slow,39.952526,Epic Adventure,Colorado,18.2,0.912,57.414,31.798,1671.914,28.987,13.95,0.61,35
SB,Slow,39.952526,Epic Adventure,Colorado,18.2,0.731,55.308,31.545,1451.957,23.054,,0.61,35
SB,Slow,39.952526,Epic Adventure,Colorado,18.2,0.52,60.771,31.354,1436.571,16.293,12.92,0.3,35
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.685,65.071,40.103,1456.571,27.484,14.07,0.91,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.639,61.734,39.968,1478.1,25.526,12.93,0.91,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.589,64.201,37.228,1610.386,21.943,10.16,,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.645,61.821,39.956,1539.629,25.755,,1.22,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.643,62.636,39.591,1376.6,25.441,15.34,,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.636,63.929,42.029,1276.629,26.727,,,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.647,61.294,41.624,1396.6,26.948,,,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.665,60.542,42.848,1478.114,28.491,12.78,0.61,30
SB,Slow,40.258491,Silo Train Sandwich,Colorado,19.2,0.642,62.158,38.988,1488.871,25.037,,0.61,30
